session_id,src_port,dst_port,session_count,timestamp,during
00:00:00:00:00:03,34547,993,9,28801,62
00:00:00:00:00:02,61432,8000,24,28801,80
00:00:00:00:00:02,16467,8000,44,28801,101
00:00:00:00:00:01,52545,8443,10,28815,52
00:00:00:00:00:01,21871,8000,47,28817,224
00:00:00:00:00:02,8898,8443,27,28818,191
00:00:00:00:00:03,39547,8443,36,28819,77
00:00:00:00:00:01,47322,5432,40,28820,14
00:00:00:00:00:03,15320,135,47,28820,83
00:00:00:00:00:01,15205,8443,11,28821,128
00:00:00:00:00:03,4501,8080,49,28823,81
00:00:00:00:00:02,59781,8443,45,28824,125
00:00:00:00:00:03,24786,443,12,28826,276
00:00:00:00:00:03,17923,53,24,28828,124
00:00:00:00:00:01,12849,80,48,28829,2
00:00:00:00:00:03,14222,110,18,28835,252
00:00:00:00:00:03,57595,443,40,28837,202
00:00:00:00:00:03,13217,8000,11,28837,179
00:00:00:00:00:03,55743,8000,21,28838,131
00:00:00:00:00:02,28706,20,37,28839,66
00:00:00:00:00:02,13917,8443,14,28840,267
00:00:00:00:00:02,53663,443,21,28841,146
00:00:00:00:00:01,55361,443,10,28841,218
00:00:00:00:00:03,55730,5432,1,28842,134
00:00:00:00:00:03,3884,53,39,28843,184
00:00:00:00:00:03,65534,443,17,28844,206
00:00:00:00:00:02,53247,5061,36,28845,78
00:00:00:00:00:02,49350,8000,34,28845,94
00:00:00:00:00:03,34634,22,5,28846,50
00:00:00:00:00:02,14712,8080,4,28847,285
00:00:00:00:00:01,51080,8443,13,28847,63
00:00:00:00:00:01,21076,993,22,28848,282
00:00:00:00:00:03,6140,53,42,28852,288
00:00:00:00:00:02,22529,137,13,28857,241
00:00:00:00:00:01,6454,25,18,28858,92
00:00:00:00:00:03,7336,138,35,28862,245
00:00:00:00:00:01,37256,80,11,28863,186
00:00:00:00:00:01,45810,995,5,28863,3
00:00:00:00:00:02,36406,143,30,28864,136
00:00:00:00:00:01,4995,8443,18,28867,44
00:00:00:00:00:03,17309,8080,45,28871,101
00:00:00:00:00:01,6782,8080,2,28871,290
00:00:00:00:00:02,34761,22,16,28874,54
00:00:00:00:00:02,36009,80,39,28876,54
00:00:00:00:00:01,55556,5060,38,28877,81
00:00:00:00:00:02,39898,25,1,28877,26
00:00:00:00:00:03,27543,80,31,28882,244
00:00:00:00:00:01,8723,80,31,28884,108
00:00:00:00:00:03,64602,22,14,28885,229
00:00:00:00:00:01,45105,587,45,28888,262
00:00:00:00:00:03,24886,8000,10,28890,108
00:00:00:00:00:01,34594,53,11,28890,287
00:00:00:00:00:03,38515,8443,10,28898,108
00:00:00:00:00:01,40768,3306,30,28899,240
00:00:00:00:00:03,37741,8443,28,28900,188
00:00:00:00:00:03,47575,8443,11,28902,180
00:00:00:00:00:02,10674,143,41,28905,7
00:00:00:00:00:03,20384,443,43,28907,8
00:00:00:00:00:01,41699,5060,18,28908,166
00:00:00:00:00:01,6520,8080,2,28912,176
00:00:00:00:00:02,51737,80,11,28914,177
00:00:00:00:00:03,24362,3306,32,28915,12
00:00:00:00:00:03,13491,21,32,28916,283
00:00:00:00:00:02,44724,465,7,28919,238
00:00:00:00:00:01,64457,8000,7,28921,216
00:00:00:00:00:03,61992,80,5,28925,261
00:00:00:00:00:03,31217,80,20,28929,138
00:00:00:00:00:01,7544,465,22,28932,41
00:00:00:00:00:02,11960,995,9,28933,15
00:00:00:00:00:02,9846,8000,50,28933,37
00:00:00:00:00:01,61528,5432,1,28935,167
00:00:00:00:00:01,63020,443,20,28937,44
00:00:00:00:00:03,36699,8443,8,28938,247
00:00:00:00:00:02,16973,5060,23,28938,118
00:00:00:00:00:03,25236,135,21,28939,257
00:00:00:00:00:03,40358,5432,20,28939,52
00:00:00:00:00:03,12124,443,33,28942,53
00:00:00:00:00:03,52933,20,5,28943,293
00:00:00:00:00:02,49162,995,16,28948,144
00:00:00:00:00:01,60078,8000,48,28949,1
00:00:00:00:00:02,12555,443,5,28953,130
00:00:00:00:00:02,14074,8443,3,28957,87
00:00:00:00:00:02,62497,8443,48,28960,12
00:00:00:00:00:02,13289,80,7,28962,146
00:00:00:00:00:02,9342,5061,50,28963,64
00:00:00:00:00:02,52604,5061,7,28964,219
00:00:00:00:00:01,51102,995,45,28965,20
00:00:00:00:00:03,46677,22,45,28966,57
00:00:00:00:00:02,27946,443,37,28971,13
